| S.No | Skip List Time | Set Time | Closeness (%) |
| 384  | 0.002257       | 0.002482 | 90.924987     |
| 385  | 0.002192       | 0.001851 | 84.433166     |
| 386  | 0.002181       | 0.002182 | 99.954171     |
| 387  | 0.002025       | 0.002261 | 89.569758     |
| 388  | 0.002584       | 0.002077 | 80.407691     |
| 389  | 0.002165       | 0.002582 | 83.850358     |
| 390  | 0.002254       | 0.001982 | 87.947153     |
| 391  | 0.002131       | 0.002513 | 84.798638     |
| 392  | 0.002199       | 0.001879 | 85.441568     |
| 393  | 0.002042       | 0.002400 | 85.091922     |
| 394  | 0.002416       | 0.001844 | 76.346551     |
| 395  | 0.002087       | 0.002007 | 96.136784     |
| 396  | 0.002077       | 0.001895 | 91.267602     |
| 397  | 0.002499       | 0.002052 | 82.136231     |
| 398  | 0.002210       | 0.001997 | 90.345634     |
| 399  | 0.001971       | 0.001962 | 99.540050     |
| 400  | 0.002109       | 0.002420 | 87.149231     |
| 401  | 0.002160       | 0.002005 | 92.813288     |
| 402  | 0.002252       | 0.002699 | 83.433747     |
| 403  | 0.002303       | 0.001989 | 86.361122     |
| 404  | 0.002430       | 0.002117 | 87.146206     |
| 405  | 0.002195       | 0.002049 | 93.348722     |
| 406  | 0.002329       | 0.002581 | 90.231319     |
| 407  | 0.002079       | 0.002070 | 99.548995     |
| 408  | 0.002137       | 0.002391 | 89.357046     |
| 409  | 0.002438       | 0.002053 | 84.226086     |
| 410  | 0.002347       | 0.002316 | 98.645961     |
| 411  | 0.002133       | 0.002283 | 93.425146     |
| 412  | 0.002183       | 0.002160 | 98.942146     |
| 413  | 0.002273       | 0.001954 | 85.962873     |
| 414  | 0.002225       | 0.002098 | 94.289315     |
| 415  | 0.002207       | 0.001926 | 87.287994     |
| 416  | 0.002475       | 0.002061 | 83.282087     |
| 417  | 0.002312       | 0.002377 | 97.275681     |
| 418  | 0.002214       | 0.002292 | 96.602618     |
| 419  | 0.002186       | 0.002127 | 97.307987     |
| 420  | 0.002806       | 0.002002 | 71.346787     |
| 421  | 0.002897       | 0.002103 | 72.576804     |
| 422  | 0.002087       | 0.001765 | 84.561784     |
| 423  | 0.002167       | 0.001912 | 88.201178     |
| 424  | 0.002220       | 0.002077 | 93.564004     |
| 425  | 0.002279       | 0.002092 | 91.778146     |
| 426  | 0.002577       | 0.002227 | 86.392212     |
| 427  | 0.002137       | 0.002488 | 85.877635     |
| 428  | 0.002594       | 0.002069 | 79.736195     |
| 429  | 0.002143       | 0.002040 | 95.173015     |
| 430  | 0.002302       | 0.001993 | 86.546826     |
| 431  | 0.003265       | 0.002005 | 61.407131     |
| 432  | 0.002597       | 0.002215 | 85.278501     |
| 433  | 0.002256       | 0.002073 | 91.862329     |
| 434  | 0.002471       | 0.001937 | 78.375654     |
| 435  | 0.002171       | 0.002164 | 99.688525     |
| 436  | 0.002332       | 0.001963 | 84.182583     |
| 437  | 0.002370       | 0.002183 | 92.100905     |
| 438  | 0.002155       | 0.002149 | 99.732124     |
| 439  | 0.002280       | 0.001972 | 86.521646     |
| 440  | 0.002414       | 0.001925 | 79.742270     |
| 441  | 0.002215       | 0.002314 | 95.717269     |
| 442  | 0.002176       | 0.001946 | 89.405474     |
| 443  | 0.002734       | 0.002199 | 80.429291     |
| 444  | 0.002907       | 0.002100 | 72.243259     |
| 445  | 0.002332       | 0.002039 | 87.411727     |
| 446  | 0.002268       | 0.002017 | 88.972803     |
| 447  | 0.002261       | 0.002041 | 90.293184     |
| 448  | 0.002038       | 0.002253 | 90.470809     |
| 449  | 0.002085       | 0.002011 | 96.407379     |
| 450  | 0.002238       | 0.002272 | 98.495957     |
| 451  | 0.002293       | 0.001845 | 80.496834     |
| 452  | 0.002156       | 0.002163 | 99.663124     |
| 453  | 0.002315       | 0.002237 | 96.600878     |
| 454  | 0.002272       | 0.001901 | 83.673346     |
| 455  | 0.001973       | 0.002214 | 89.115816     |
| 456  | 0.002022       | 0.002080 | 97.202493     |
| 457  | 0.002078       | 0.002062 | 99.235929     |
| 458  | 0.002456       | 0.002953 | 83.153886     |
| 459  | 0.002861       | 0.002315 | 80.928343     |
| 460  | 0.002240       | 0.002353 | 95.210248     |
